Instruction,Opcode,Funct (If applicable),ALUSrc,ALUControl,MemtoReg (Does function read from memory),s_DMemWr (Does function write to memory),s_RegWr (Does function write to a register),RegDst (Function uses R-type instead of I-type),No Overflow,beq control,bne control,jump control,jr control,Lui control,sign extender select
addi,"""001000""",NA,1,“0010”,0,0,1,0,0,0,0,0,0,0,1
add,"""000000""","""100000""",0,“0010”,0,0,1,1,0,0,0,0,0,0,1
addiu,"""000000""",NA,1,“0010”,0,0,1,0,1,0,0,0,0,0,1
addu,"""000000""","""100001""",0,“0010”,0,0,1,1,1,0,0,0,0,0,1
and,"""000000""","""100100""",0,“1110”,0,0,1,1,1,0,0,0,0,0,1
andi,"""001100""",NA,1,“1110”,0,0,1,0,1,0,0,0,0,0,0
lui,"""001111""",NA,1,XXXX,0,0,1,0,1,0,0,0,0,1,1
lw,"""100011""",NA,1,“0010”,1,0,1,0,1,0,0,0,0,0,1
nor,"""000000""","""100111""",0,“0000”,0,0,1,1,1,0,0,0,0,0,1
xor,"""000000""","""100110""",0,“0100”,0,0,1,1,1,0,0,0,0,0,1
xori,"""001110""",NA,1,“0100”,0,0,1,0,1,0,0,0,0,0,0
or,"""000000""","""100101""",0,“0001”,0,0,1,1,1,0,0,0,0,0,1
ori,"""001101""",NA,1,“0001”,0,0,1,0,1,0,0,0,0,0,0
slt,"""000000""","""101010""",0,“0111”,0,0,1,1,1,0,0,0,0,0,1
slti,"""001010""",NA,1,“0111”,0,0,1,0,1,0,0,0,0,0,1
sltiu,"""001011""",NA,1,“0111”,0,0,1,0,1,0,0,0,0,0,1
sltu,"""000000""","""101011""",0,“0111”,0,0,1,1,1,0,0,0,0,0,1
sll,"""000000""","""000000""",0,“1101”,0,0,1,1,1,0,0,0,0,0,1
srl,"""000000""","""000010""",0,“1001”,0,0,1,1,1,0,0,0,0,0,1
sra,"""000000""","""000011""",0,“1000”,0,0,1,1,1,0,0,0,0,0,1
sllv,"""000000""","""000100""",0,XXXX,0,0,1,1,1,0,0,0,0,0,1
srlv,"""000000""","""000110""",0,XXXX,0,0,1,1,1,0,0,0,0,0,1
srav,"""000000""","""000111""",0,XXXX,0,0,1,1,1,0,0,0,0,0,1
sw,"""101011""",NA,1,“0010”,0,1,0,0,1,0,0,0,0,0,1
sub,"""000000""","""100010""",0,“0011”,0,0,1,1,0,0,0,0,0,0,1
subu,"""000000""","""100011""",0,“0011”,0,0,1,1,1,0,0,0,0,0,1
beq,"""000100""",NA,0,“1010”,0,0,0,0,1,1,0,0,0,0,1
bne,"""000101""",NA,0,“1011”,0,0,0,0,1,0,1,0,0,0,1
j,"""000010""",NA,0,XXXX,0,0,0,0,1,0,0,1,0,0,1
jal,"""000011""",NA,0,XXXX,0,0,1,0,1,0,0,0,0,0,1
jr,"""000000""","""001000""",0,XXXX,0,0,0,1,1,0,0,0,1,0,1
halt,"""010001""",NA,0,XXXX,0,0,0,0,1,0,0,0,0,0,1
noop,"""111111""",NA,0,XXXX,0,0,0,0,1,0,0,0,0,0,0
